preset_name,opening_name,agent_color,outcome,score,plies,agent_moves,agent_avg_time_s,agent_avg_nodes,engine_avg_time_s
ab_d3_ordered,Bird's Opening,white,win,1.0,95,47,0.21388178297847651,1256.4893617021276,0.0
ab_d3_ordered,Bird's Opening,black,loss,0.0,77,38,0.3814813710525509,1821.421052631579,0.0
ab_d3_ordered,Larsen's Opening,white,loss,0.0,66,32,0.24240285937503359,1216.21875,0.0
ab_d3_ordered,Larsen's Opening,black,win,1.0,162,81,0.267406179012467,1347.0,0.0
ab_d3_ordered,Sokolsky Opening,white,loss,0.0,62,30,0.3717086999998476,1930.0,0.0
ab_d3_ordered,Sokolsky Opening,black,win,1.0,48,24,0.2987302041666832,1692.5,0.0
ab_d3_ordered,Grob's Attack,white,loss,0.0,38,18,0.28767402222244226,1347.388888888889,0.0
ab_d3_ordered,Grob's Attack,black,loss,0.0,203,101,0.10999320891101834,599.019801980198,0.0
ab_d3_ordered,Clemenz Opening,white,loss,0.0,90,44,0.23884142727258056,1134.25,0.0
ab_d3_ordered,Clemenz Opening,black,loss,0.0,69,34,0.3663508970592589,1840.1176470588234,0.0
ab_d3_ordered,Amar Opening,white,loss,0.0,104,51,0.2402135372546635,1129.5686274509803,0.0
ab_d3_ordered,Amar Opening,black,win,1.0,60,30,0.27849419333336606,1669.1666666666667,0.0
ab_d3_ordered,Desprez Opening,white,loss,0.0,56,27,0.22932650000021332,965.4074074074074,0.0
ab_d3_ordered,Desprez Opening,black,loss,0.0,173,86,0.14277335232585503,805.0581395348837,0.0
ab_d3_ordered,Tarrasch Defense,white,loss,0.0,38,16,0.2654779250001411,1255.25,0.0
ab_d3_ordered,Tarrasch Defense,black,draw,0.5,154,74,0.18769749324304497,1106.662162162162,0.0
ab_d3_ordered,Semi-Slav Defense,white,loss,0.0,56,25,0.2709204919997137,1293.72,0.0
ab_d3_ordered,Semi-Slav Defense,black,win,1.0,72,33,0.4079610939399131,1946.090909090909,0.0
ab_d3_ordered,QGA (Queen's Gambit Accepted),white,win,1.0,103,50,0.14442599799986056,754.88,0.0
ab_d3_ordered,QGA (Queen's Gambit Accepted),black,loss,0.0,91,43,0.20768070930234686,975.2325581395348,0.0
ab_d3_ordered,Chigorin Defense,white,win,1.0,49,23,0.26119323913055426,1201.608695652174,0.0
ab_d3_ordered,Chigorin Defense,black,loss,0.0,73,34,0.328080347058751,1585.9705882352941,0.0
ab_d4,Starting Position,white,draw,0.5,235,118,1.1550961813561533,6488.1949152542375,0.0
ab_d4,Starting Position,black,win,1.0,144,72,1.9726075361113038,8041.333333333333,0.0
ab_d4,Italian Game,white,win,1.0,85,40,2.4498854825000307,8180.275,0.0
ab_d4,Italian Game,black,win,1.0,78,36,1.4436852250001821,5087.638888888889,0.0
ab_d4,Queen's Gambit Declined,white,win,1.0,49,22,1.9123194499995655,5166.090909090909,0.0
ab_d4,Queen's Gambit Declined,black,win,1.0,88,41,1.8295490780484858,7317.780487804878,0.0
ab_d4,Sicilian Defence (Najdorf),white,win,1.0,71,31,2.370952106451788,7168.387096774193,0.0
ab_d4,Sicilian Defence (Najdorf),black,win,1.0,66,28,3.5151459785713866,12751.82142857143,0.0
ab_d4,French Defence (Advance),white,win,1.0,89,42,2.092666085713842,7143.5,0.0
ab_d4,French Defence (Advance),black,loss,0.0,71,33,1.9733116454548454,7623.666666666667,0.0
ab_d4,Caro-Kann Defence,white,win,1.0,71,33,2.3186723969698835,7583.69696969697,0.0
ab_d4,Caro-Kann Defence,black,win,1.0,68,31,3.3705342290322147,12100.774193548386,0.0
ab_d4,Ruy Lopez (Morphy Defense),white,win,1.0,85,40,1.4306405250000354,5096.3,0.0
ab_d4,Ruy Lopez (Morphy Defense),black,win,1.0,56,25,1.7162685400004556,6361.88,0.0
ab_d4,Slav Defense,white,win,1.0,61,29,2.276095837931217,9366.413793103447,0.0
ab_d4,Slav Defense,black,win,1.0,94,45,2.581067893333077,8463.733333333334,0.0
ab_d4,King's Indian Defense,white,win,1.0,37,17,2.231648958822916,7575.529411764706,0.0
ab_d4,King's Indian Defense,black,draw,0.5,113,54,1.590895696296381,5908.240740740741,0.0
ab_d4,Nimzo-Indian Defense,white,win,1.0,69,32,0.722065731249927,3107.15625,0.0
ab_d4,Nimzo-Indian Defense,black,win,1.0,50,22,2.744736204545585,9475.181818181818,0.0
ab_d4,English Opening (Symmetrical),white,loss,0.0,148,72,1.6480698736114492,8854.513888888889,0.0
ab_d4,English Opening (Symmetrical),black,win,1.0,68,32,2.2975675875002253,9196.5625,0.0
ab_d4,Grunfeld Defense,white,win,1.0,31,13,2.0118879384622583,5678.846153846154,0.0
ab_d4,Grunfeld Defense,black,loss,0.0,73,33,2.539909199999591,9901.939393939394,0.0
ab_d4,Reti Opening,white,win,1.0,69,34,2.621774223529428,10480.617647058823,0.0
ab_d4,Reti Opening,black,win,1.0,94,46,3.457970965217575,10997.826086956522,0.0
ab_d4,Alekhine's Defense,white,win,1.0,33,15,1.9699901399993298,7444.266666666666,0.0
ab_d4,Alekhine's Defense,black,win,1.0,78,38,2.84817789736802,9454.131578947368,0.0
ab_d4,Modern Defense,white,win,1.0,35,17,3.180600188235129,12035.70588235294,0.0
ab_d4,Modern Defense,black,win,1.0,70,34,1.8086903588234289,7000.205882352941,0.0
ab_d4,Pirc Defense,white,draw,0.5,90,43,2.025735695348399,7003.186046511628,0.0
ab_d4,Pirc Defense,black,win,1.0,82,39,1.7611195769231693,6670.384615384615,0.0
ab_d4,Scandinavian Defense,white,win,1.0,43,20,2.110558609999316,5238.35,0.0
ab_d4,Scandinavian Defense,black,loss,0.0,141,69,1.8149940246376386,7224.188405797101,0.0
ab_d4,Dutch Defense,white,win,1.0,73,36,3.311859902777643,11508.222222222223,0.0
ab_d4,Dutch Defense,black,loss,0.0,37,17,1.3916869882354257,6321.764705882353,0.0
ab_d4,Benoni Defense,white,draw,0.5,83,39,1.4008313128204184,4911.025641025641,0.0
ab_d4,Benoni Defense,black,win,1.0,82,38,2.026378715789561,6586.026315789473,0.0
ab_d4,Benko Gambit,white,win,1.0,123,59,1.3082125627118069,4367.661016949152,0.0
ab_d4,Benko Gambit,black,win,1.0,58,26,1.6319299153843672,5834.384615384615,0.0
ab_d4,Vienna Game,white,draw,0.5,34,15,2.727288053333662,9338.0,0.0
ab_d4,Vienna Game,black,win,1.0,74,35,2.3250132457140094,7549.142857142857,0.0
ab_d4,Bishop's Opening,white,loss,0.0,146,71,3.447600971831236,11974.408450704226,0.0
ab_d4,Bishop's Opening,black,loss,0.0,197,97,0.9895506587630566,4275.896907216495,0.0
ab_d4,Four Knights Game,white,loss,0.0,80,37,2.3182574081082428,8511.081081081082,0.0
ab_d4,Four Knights Game,black,win,1.0,36,16,2.5498708874997646,6949.6875,0.0
ab_d4,Scotch Game,white,win,1.0,43,19,2.2638921210525855,6349.578947368421,0.0
ab_d4,Scotch Game,black,win,1.0,86,41,2.221803156097516,6500.536585365854,0.0
ab_d4,Philidor Defense,white,win,1.0,27,12,3.3328251333332446,10514.916666666666,0.0
ab_d4,Philidor Defense,black,win,1.0,98,47,2.5382296021274127,6969.851063829788,0.0
ab_d4,Petrov's Defense,white,win,1.0,47,21,2.1515250904757566,6125.619047619048,0.0
ab_d4,Petrov's Defense,black,win,1.0,72,33,1.4009369181821416,5026.545454545455,0.0
ab_d4,Giuoco Piano,white,loss,0.0,58,26,3.354239530769169,11866.115384615385,0.0
ab_d4,Giuoco Piano,black,win,1.0,60,27,2.2810345518520516,7303.481481481482,0.0
ab_d4,Two Knights Defense,white,win,1.0,113,53,2.794790649056387,10285.22641509434,0.0
ab_d4,Two Knights Defense,black,win,1.0,68,30,2.1343670633335328,6305.8,0.0
ab_d4,Evan's Gambit,white,win,1.0,73,33,3.9394666666667035,12036.69696969697,0.0
ab_d4,Evan's Gambit,black,draw,0.5,47,20,2.1932224800002587,5835.25,0.0
ab_d4,King's Gambit Accepted,white,win,1.0,67,32,2.190805331250317,6869.90625,0.0
ab_d4,King's Gambit Accepted,black,win,1.0,74,35,2.2884689685713964,7215.714285714285,0.0
ab_d4,Danish Gambit,white,win,1.0,133,64,2.1299277000002235,6865.015625,0.0
ab_d4,Danish Gambit,black,loss,0.0,69,32,2.5457169062498224,9556.65625,0.0
ab_d4,Catalan Opening,white,win,1.0,91,44,2.900705168181544,8638.59090909091,0.0
ab_d4,Catalan Opening,black,loss,0.0,89,42,4.584072571428416,14586.142857142857,0.0
ab_d4,Bogo-Indian Defense,white,win,1.0,59,27,4.129459462963159,12486.62962962963,0.0
ab_d4,Bogo-Indian Defense,black,loss,0.0,133,63,2.2844007047620143,8329.936507936507,0.0
ab_d4,Queen's Indian Defense,white,win,1.0,33,14,2.24126469285693,7293.142857142857,0.0
ab_d4,Queen's Indian Defense,black,win,1.0,118,56,3.2261487714285977,11268.785714285714,0.0
ab_d4,Trompowsky Attack,white,loss,0.0,126,62,2.2353041693545346,7986.419354838709,0.0
ab_d4,Trompowsky Attack,black,loss,0.0,77,37,1.994155799999921,7435.081081081081,0.0
ab_d4,London System,white,loss,0.0,132,63,2.5154314460317164,9078.761904761905,0.0
ab_d4,London System,black,draw,0.5,149,72,1.5979131013886116,5816.138888888889,0.0
ab_d4,Colle System,white,draw,0.5,101,48,1.8243046770830915,4743.833333333333,0.0
ab_d4,Colle System,black,draw,0.5,84,40,1.8895637349995014,6570.35,0.0
ab_d4,Torre Attack,white,win,1.0,57,27,2.9946330666670864,8207.518518518518,0.0
ab_d4,Torre Attack,black,win,1.0,66,31,2.2415504129033166,7284.451612903225,0.0
ab_d4,Richter-Veresov Attack,white,win,1.0,65,31,4.433204570967534,12175.90322580645,0.0
ab_d4,Richter-Veresov Attack,black,draw,0.5,51,23,2.4083821217386485,7329.173913043478,0.0
ab_d4,Blackmar-Diemer Gambit,white,draw,0.5,165,82,2.7127299743903968,8956.890243902439,0.0
ab_d4,Blackmar-Diemer Gambit,black,win,1.0,54,26,2.350767696154155,7187.192307692308,0.0
ab_d4,Bird's Opening,white,loss,0.0,60,29,1.695176965517021,7313.758620689655,0.0
ab_d4,Bird's Opening,black,draw,0.5,185,92,1.979001922826327,7035.347826086957,0.0
ab_d4,Larsen's Opening,white,win,1.0,49,24,2.498117320833444,8920.791666666666,0.0
ab_d4,Larsen's Opening,black,win,1.0,78,39,2.153949394872213,7112.871794871795,0.0
ab_d4,Sokolsky Opening,white,win,1.0,51,25,3.154424384000013,10136.24,0.0
ab_d4,Sokolsky Opening,black,win,1.0,162,81,1.9255161839506332,6358.79012345679,0.0
ab_d4,Grob's Attack,white,draw,0.5,152,75,1.0974123879997932,4243.2266666666665,0.0
ab_d4,Grob's Attack,black,loss,0.0,107,53,2.879060188679295,9662.264150943396,0.0
ab_d4,Clemenz Opening,white,loss,0.0,70,34,3.906728461764621,14329.79411764706,0.0
ab_d4,Clemenz Opening,black,win,1.0,36,18,3.825947627778482,12237.888888888889,0.0
ab_d4,Amar Opening,white,win,1.0,65,32,3.513306903125226,10241.78125,0.0
ab_d4,Amar Opening,black,win,1.0,64,32,1.8602378906250578,5738.1875,0.0
ab_d4,Desprez Opening,white,win,1.0,63,31,3.455722890322396,9358.516129032258,0.0
ab_d4,Desprez Opening,black,draw,0.5,158,79,1.7731300037974713,7601.974683544304,0.0
ab_d4,Tarrasch Defense,white,win,1.0,57,26,1.9498555115390515,4852.461538461538,0.0
ab_d4,Tarrasch Defense,black,win,1.0,90,42,2.62295429999999,7272.547619047619,0.0
ab_d4,Semi-Slav Defense,white,win,1.0,65,30,2.7030615933332833,8897.833333333334,0.0
ab_d4,Semi-Slav Defense,black,win,1.0,68,31,2.2445950161289208,6316.1612903225805,0.0
ab_d4,QGA (Queen's Gambit Accepted),white,win,1.0,57,27,2.596133799999936,6966.7037037037035,0.0
ab_d4,QGA (Queen's Gambit Accepted),black,win,1.0,154,75,0.975837443999917,3920.0133333333333,0.0
ab_d4,Chigorin Defense,white,win,1.0,57,27,2.8656511703706604,11823.111111111111,0.0
ab_d4,Chigorin Defense,black,draw,0.5,98,47,1.6533757744679298,7356.723404255319,0.0
